clientes,Valor_compra,qtde_produtos,forma_pag
cliente 2,378,10,1
cliente 5,475,18,1
cliente 1,285,10,1
cliente 1,181,4,0
cliente 7,177,20,1
cliente 3,320,12,0
cliente 3,294,5,1
cliente 6,385,7,1
cliente 5,257,6,0
cliente 7,58,2,0
cliente 7,176,20,0
cliente 7,358,19,0
cliente 1,445,15,1
cliente 5,116,15,1
cliente 7,253,17,0
cliente 5,407,10,0
cliente 5,336,10,1
cliente 6,421,19,0
cliente 3,199,3,0
cliente 6,491,12,1
cliente 5,398,1,0
cliente 2,188,2,0
cliente 2,39,1,1
cliente 6,320,17,0
cliente 2,297,4,1
cliente 5,442,14,0
cliente 8,358,19,0
cliente 8,306,19,1
cliente 1,350,6,0
cliente 1,291,0,1
cliente 6,436,10,0
cliente 7,345,19,1
cliente 2,22,9,1
cliente 7,260,13,1
cliente 3,182,1,0
cliente 8,66,12,0
cliente 7,217,14,0
cliente 6,59,8,0
cliente 2,79,1,0
cliente 8,371,19,1
cliente 3,181,13,1
cliente 7,291,17,1
cliente 1,357,2,0
cliente 6,58,12,0
cliente 2,71,19,1
cliente 5,284,15,0
cliente 1,229,12,1
cliente 7,18,11,1
cliente 5,281,18,1
cliente 8,12,5,1
cliente 5,196,11,1
cliente 8,280,17,1
cliente 5,403,19,0
cliente 5,52,13,0
cliente 6,208,14,0
cliente 5,322,11,0
cliente 3,497,8,0
cliente 7,215,6,1
cliente 2,175,5,1
cliente 7,204,14,1
cliente 2,133,12,1
cliente 2,100,0,1
cliente 6,439,20,1
cliente 5,39,5,1
cliente 1,204,17,1
cliente 1,280,13,0
cliente 5,402,5,0
cliente 7,142,4,0
cliente 2,398,14,1
cliente 1,472,10,1
cliente 2,421,19,1
cliente 8,96,10,0
cliente 2,295,14,1
cliente 3,197,12,0
cliente 8,292,17,1
cliente 8,332,5,0
cliente 1,219,4,0
cliente 8,105,5,1
cliente 8,82,0,0
cliente 5,91,5,0
cliente 3,68,1,1
cliente 2,467,14,1
cliente 2,65,0,0
cliente 5,310,13,0
cliente 5,191,3,0
cliente 8,161,3,1
cliente 5,168,9,0
cliente 8,497,16,1
cliente 7,100,19,1
cliente 2,45,1,0
cliente 6,60,7,0
cliente 7,186,10,0
cliente 2,255,11,0
cliente 6,460,13,0
cliente 6,257,17,0
cliente 1,429,7,1
cliente 2,456,16,0
cliente 7,292,7,1
cliente 8,347,1,0
cliente 7,493,7,1
cliente 5,14,10,0
cliente 5,45,6,0
cliente 7,22,18,1
cliente 5,35,4,0
cliente 1,42,2,0
cliente 5,79,0,1
cliente 5,244,5,0
cliente 6,121,12,0
cliente 6,451,17,0
cliente 7,416,8,1
cliente 1,82,5,1
cliente 8,348,8,1
cliente 2,313,6,1
cliente 8,389,11,0
cliente 7,460,1,1
cliente 3,346,19,1
cliente 1,374,4,1
cliente 6,343,7,1
cliente 3,395,18,1
cliente 1,240,18,0
cliente 7,466,15,0
cliente 5,479,12,0
cliente 8,124,15,0
cliente 8,95,19,1
cliente 8,487,6,1
cliente 7,258,12,1
cliente 7,182,5,0
cliente 8,181,0,0
cliente 2,20,9,0
cliente 1,283,7,1
cliente 5,189,0,0
cliente 2,285,2,0
cliente 2,121,16,0
cliente 5,438,10,1
cliente 6,163,10,1
cliente 7,451,10,0
cliente 2,30,2,1
cliente 8,334,9,1
cliente 1,424,5,0
cliente 8,78,14,0
cliente 6,227,11,1
cliente 3,393,5,0
cliente 1,121,9,0
cliente 3,243,10,0
cliente 5,184,16,1
cliente 5,155,7,1
cliente 1,120,9,0
cliente 7,436,5,0
cliente 5,282,8,0
cliente 6,103,1,1
cliente 7,298,10,0
cliente 2,183,13,1
cliente 6,281,9,0
cliente 7,305,4,0
cliente 5,367,18,0
cliente 5,237,16,0
cliente 8,85,6,0
cliente 7,398,4,1
cliente 5,292,9,0
cliente 3,442,2,1
cliente 1,96,13,0
cliente 8,96,8,1
cliente 7,216,8,0
cliente 7,166,0,0
cliente 5,395,16,0
cliente 6,419,15,0
cliente 5,327,4,1
cliente 2,205,8,1
cliente 1,340,6,1
cliente 2,172,13,1
cliente 2,195,7,1
cliente 7,258,2,1
cliente 8,90,18,0
cliente 8,328,4,1
cliente 1,487,16,1
cliente 8,151,3,0
cliente 2,411,3,1
cliente 8,178,5,0
cliente 3,93,2,0
cliente 8,98,4,1
cliente 3,395,10,1
cliente 3,18,3,1
cliente 6,326,12,0
cliente 6,415,6,0
cliente 3,385,2,1
cliente 3,448,19,0
cliente 3,24,5,0
cliente 3,27,18,0
cliente 7,329,1,1
cliente 7,374,7,0
cliente 1,498,9,1
cliente 7,170,12,1
cliente 7,26,15,0
cliente 7,411,12,1
cliente 8,141,10,0
cliente 5,391,2,0
cliente 7,115,16,0
cliente 2,156,12,0
cliente 6,46,19,0
cliente 7,329,11,0
