nome ação,preço ação R$,qtde cotas,valor de mercado R$ -(Bilhões)
VALE3,194,45,2134
SUZB3,91,71,3069
SUZB3,165,41,2815
SUZB3,56,34,3613
GOOGLE,212,9,2975
GOOGLE,206,60,918
VALE3,15,25,965
AMAZON,98,66,2581
GOOGLE,36,90,2287
PETR4,101,14,2296
APPLE,50,94,1364
VALE3,60,43,459
GOOGLE,16,88,1369
ELEKTRO,184,56,4023
GOOGLE,199,41,3918
VALE3,231,70,2055
VALE3,215,11,4993
SUZB3,42,55,2399
AMAZON,28,52,2452
AMAZON,51,21,4166
ELEKTRO,253,75,3351
AMAZON,120,80,2077
APPLE,250,26,1668
ELEKTRO,136,40,720
PETR4,117,13,2332
GOOGLE,208,81,358
PETR4,91,96,2350
ELEKTRO,119,90,3730
SUZB3,128,71,3690
AMAZON,61,91,2384
SUZB3,23,57,304
APPLE,161,52,1637
SUZB3,15,16,2140
GOOGLE,67,79,2327
APPLE,237,46,4453
AMAZON,202,42,4127
SUZB3,232,24,3627
AMAZON,86,5,4174
GOOGLE,246,44,597
PETR4,242,2,3305
SUZB3,242,10,2755
GOOGLE,209,29,1051
SUZB3,141,12,4010
GOOGLE,194,37,3966
VALE3,123,57,3422
APPLE,48,58,2762
ELEKTRO,131,91,300
GOOGLE,208,56,290
VALE3,99,61,1605
ELEKTRO,117,16,847
APPLE,94,10,2825
AMAZON,228,93,2778
GOOGLE,130,65,3795
GOOGLE,69,24,1631
AMAZON,41,75,2899
GOOGLE,112,2,2284
GOOGLE,33,76,3362
VALE3,217,72,510
ELEKTRO,250,57,2302
APPLE,228,36,584
ELEKTRO,52,89,4052
ELEKTRO,101,79,2826
PETR4,190,24,1214
APPLE,199,73,2916
APPLE,100,90,2506
SUZB3,227,43,111
AMAZON,155,66,4683
GOOGLE,226,83,1115
GOOGLE,65,19,2639
VALE3,36,23,4907
GOOGLE,50,59,516
PETR4,242,69,690
GOOGLE,52,32,3879
APPLE,55,56,3634
ELEKTRO,176,78,2320
APPLE,58,52,2414
ELEKTRO,242,30,52
PETR4,67,40,431
GOOGLE,84,80,4929
PETR4,243,97,4525
GOOGLE,211,91,2857
SUZB3,98,14,1858
GOOGLE,87,88,72
GOOGLE,38,83,187
PETR4,157,51,3393
ELEKTRO,174,81,610
SUZB3,25,31,2096
VALE3,209,63,4209
AMAZON,81,80,4709
APPLE,77,15,3076
GOOGLE,228,91,3546
ELEKTRO,222,4,292
PETR4,101,68,4859
VALE3,224,46,3904
VALE3,151,25,3789
SUZB3,208,78,3035
VALE3,253,60,3263
GOOGLE,99,35,980
VALE3,82,43,1866
VALE3,111,19,230
